x,y
31.19113215,0.713628124
24.64599561,0.690791798
20.80673743,-0.306053557
35.88730489,-0.166712058
17.27399036,-0.004012613
27.46197325,-0.522622331
36.12504273,-0.002280488
32.48783548,0.345734423
3.793072309,-0.765590294
4.125378088,-0.531490239
19.93071434,0.385321167
26.85971336,-0.118904033
34.80311814,-0.684888814
7.87313113,-0.017698572
36.32201821,0.133866498
11.28517147,0.255091464
36.26676419,0.096027565
23.74342945,0.142343155
13.80037031,0.287866909
25.87974423,0.566423231
25.30713225,0.764636178
39.27016786,-0.000175352
13.13815654,0.73740249
5.645405328,0.759319793
34.81263231,-0.68315951
11.91692976,0.706950024
34.80559532,-0.684444492
1.398952373,0.168623888
33.65728437,-0.443831065
5.817431886,0.842988659
16.93015895,-0.288382865
8.854580965,-0.77046197
11.85169472,0.670890281
29.51497608,-0.241332685
39.55707746,-0.190703295
5.09097237,0.351259021
39.76971542,-0.32199581
11.64988517,0.541684152
35.26071692,-0.536121164
27.38832591,-0.480973096
5.998510069,0.90387472
34.15898671,-0.65494783
17.29890697,0.016945751
1.342141625,0.223645572
2.499036924,-0.780808323
28.50324762,-0.732373023
19.91288358,0.398222466
3.330924234,-0.949955078
28.12365283,-0.746296624
4.829517204,0.111350907
12.64733927,0.878310642
6.2175883,0.93769653
31.09502218,0.695343846
4.642967048,-0.066219157
23.62141662,0.046931882
29.60021666,-0.180347576
36.15964536,0.021819651
9.433915443,-0.9099361
4.024176588,-0.610105079
5.16890419,0.41861602
18.55115472,0.793969654
12.62488959,0.879886718
13.08714845,0.761024941
37.68136661,0.685935883
30.9147518,0.643795329
7.899949609,-0.042461308
3.906466515,-0.693829134
9.977291635,-0.770379738
38.38532592,0.527034908
9.811314748,-0.839661503
25.03880938,0.775066697
28.72113556,-0.676693698
30.19556911,0.253833445
30.89228087,0.635851063
36.78021391,0.419988229
26.00592761,0.495284797
16.03645995,-0.806284284
31.9113815,0.639397801
34.71392542,-0.698080463
33.04357293,-0.040831055
24.72197348,0.716003781
24.74661399,0.723291584
3.236113391,-0.963835265
27.53515247,-0.561141908
18.63829907,0.811504211
10.32979528,-0.557052533
7.420755067,0.389776832
18.91326816,0.825997377
23.68840353,0.099520578
12.19472929,0.824765028
6.055644123,0.916979229
18.74866755,0.824824565
39.59709382,-0.216296676
16.7211973,-0.447645613
8.636370072,-0.646646117
11.620647,0.520959558
24.69350848,0.707039309
15.66093437,-0.854092643
22.6671795,-0.621851929
15.3760279,-0.810670794
16.2287916,-0.73746655
28.21715009,-0.752911652
1.471320775,0.09786108
24.82683863,0.74393245
26.43820117,0.201311777
4.093182484,-0.557112405
30.74229122,0.574711252
37.03389849,0.543275296
22.91512344,-0.479234621
30.66777532,0.539367285
0.04442902,0.99856944
12.14744321,0.809030941
17.69514899,0.338865688
12.51391787,0.881160531
27.48134856,-0.533107549
39.2376458,0.021787833
32.30322254,0.457182662
28.42106397,-0.744520904
22.94338454,-0.460981446
30.71169574,0.560580963
26.17131994,0.39059689
1.265856472,0.296459205
22.27314968,-0.768717087
0.770116719,0.71232252
29.1754194,-0.463677463
23.13024106,-0.332015195
17.07972325,-0.166680512
15.69956412,-0.854677637
30.04213036,0.144938083
7.533703789,0.291983324
37.71280596,0.685763936
13.09818224,0.756078809
29.49604379,-0.254669269
35.55473481,-0.380278788
20.57031556,-0.121624267
21.75359303,-0.781905258
22.22147221,-0.779597828
13.48403666,0.531020431
33.64662095,-0.437885737
6.09883942,0.924893006
14.93039981,-0.613789067
34.45787046,-0.705003947
25.43905179,0.739296586
21.74088406,-0.779535172
23.17231723,-0.301279231
7.416858774,0.393072595
12.51131798,0.881060184
32.59456771,0.275875105
24.46583398,0.615211223
39.23097036,0.026295645
28.02830132,-0.73281691
18.03839406,0.574993408
18.25901219,0.692012496
1.060859494,0.482971197
19.08746672,0.802963099
0.480029736,0.882733621
10.9057513,-0.080434108
9.483024027,-0.907984926
23.88914757,0.253098964
35.13931667,-0.587930497
23.83002479,0.208716764
38.17825935,0.605769786
10.41180101,-0.496675348
11.84519651,0.667136716
39.92706387,-0.409775428
10.8735039,-0.10922151
24.56012613,0.657457495
4.489402052,-0.211435113
5.288196495,0.516465514
35.42847393,-0.451946516
36.32604285,0.136606432
18.72271376,0.822593382
1.267068967,0.295313398
22.23728073,-0.776487917
19.37666944,0.712022892
39.10925186,0.108187885
3.99649432,-0.630581207
14.58475352,-0.374056795
27.13337391,-0.317693061
7.416710037,0.393198295
25.77110121,0.620630544
0.211228286,0.975710973
3.342328809,-0.947709205
15.69946267,-0.854677771
9.015319771,-0.838254152
37.86423048,0.675476585
3.05772013,-0.966476174
7.062803052,0.662685681
37.90383898,0.67022417
24.24234617,0.493673664
4.849057795,0.129794834
39.95224264,-0.422910121
21.24659608,-0.594628404
11.17072217,0.155836193
2.326635368,-0.670125312
32.31404649,0.451031399
35.69553422,-0.293495795
5.574707248,0.718179651
18.88393683,0.827430214
